8.219.144.230:443  | 64.252.102.115 | SG | 214ms | CloudFront | 2023-12-31 00:18:57
8.219.153.231:443  | 64.252.114.177 | SG | 355ms | CloudFront | 2023-12-31 00:19:02
8.219.156.159:443  | 64.252.102.22  | SG | 214ms | CloudFront | 2023-12-31 00:19:02
8.219.159.151:443  | 64.252.102.22  | SG | 226ms | CloudFront | 2023-12-31 00:19:03
8.219.162.108:443  | 64.252.102.22  | SG | 214ms | CloudFront | 2023-12-31 00:19:04
8.219.165.169:443  | 64.252.102.115 | SG | 228ms | CloudFront | 2023-12-31 00:19:06
8.219.171.138:443  | 64.252.102.115 | SG | 205ms | CloudFront | 2023-12-31 00:19:07
8.219.199.136:443  | 64.252.88.177  | SG | 359ms | CloudFront | 2023-12-31 00:19:07
8.219.172.179:443  | 64.252.102.115 | SG | 206ms | CloudFront | 2023-12-31 00:19:08
8.219.176.163:443  | 64.252.105.112 | SG | 206ms | CloudFront | 2023-12-31 00:19:09
8.219.186.17:443   | 64.252.67.94   | SG | 449ms | CloudFront | 2023-12-31 00:19:10
8.219.177.196:443  | 64.252.105.112 | SG | 228ms | CloudFront | 2023-12-31 00:19:10
8.219.187.122:443  | 64.252.105.112 | SG | 226ms | CloudFront | 2023-12-31 00:19:10
8.219.185.237:443  | 64.252.105.112 | SG | 210ms | CloudFront | 2023-12-31 00:19:12
8.219.199.65:443   | 64.252.105.112 | SG | 0ms | CloudFront | 2023-12-31 00:19:18
8.219.207.171:443  | 64.252.102.141 | SG | 226ms | CloudFront | 2023-12-31 00:19:22
8.219.204.18:443   | 64.252.102.141 | SG | 245ms | CloudFront | 2023-12-31 00:19:22
8.219.213.126:443  | 64.252.102.141 | SG | 226ms | CloudFront | 2023-12-31 00:19:22
8.219.214.182:443  | 64.252.102.141 | SG | 0ms | CloudFront | 2023-12-31 00:19:23
8.219.234.217:443  | 64.252.104.141 | SG | 216ms | CloudFront | 2023-12-31 00:19:29
8.219.230.18:443   | 64.252.104.141 | SG | 0ms | CloudFront | 2023-12-31 00:19:29
8.219.237.77:443   | 64.252.104.141 | SG | 0ms | CloudFront | 2023-12-31 00:19:31
8.219.244.61:443   | 64.252.102.22  | SG | 226ms | CloudFront | 2023-12-31 00:19:33
8.219.248.193:443  | 64.252.102.22  | SG | 226ms | CloudFront | 2023-12-31 00:19:33
8.219.244.72:443   | 64.252.102.22  | SG | 206ms | CloudFront | 2023-12-31 00:19:34
8.219.249.125:443  | 64.252.102.22  | SG | 203ms | CloudFront | 2023-12-31 00:19:34
8.219.252.21:443   | 64.252.102.22  | SG | 214ms | CloudFront | 2023-12-31 00:19:35
8.219.248.175:443  | 64.252.102.22  | SG | 212ms | CloudFront | 2023-12-31 00:19:35
8.222.129.9:443    | 64.252.102.22  | SG | 208ms | CloudFront | 2023-12-31 00:21:05
8.222.140.30:443   | 64.252.102.22  | SG | 226ms | CloudFront | 2023-12-31 00:21:06
