128.14.67.53:443   | 64.252.103.227 | HK | 44ms | CloudFront | 2023-02-28 17:10:33
128.14.67.140:443  | 64.252.103.227 | HK | 49ms | CloudFront | 2023-02-28 17:10:33
128.14.67.10:443   | 64.252.112.242 | HK | 44ms | CloudFront | 2023-02-28 17:10:33
128.14.67.34:443   | 64.252.103.227 | HK | 59ms | CloudFront | 2023-02-28 17:10:33
128.14.67.246:443  | 64.252.103.227 | HK | 40ms | CloudFront | 2023-02-28 17:10:33
128.14.67.7:443    | 64.252.103.227 | HK | 49ms | CloudFront | 2023-02-28 17:10:33
128.14.67.254:443  | 64.252.103.227 | HK | 45ms | CloudFront | 2023-02-28 17:10:33
128.14.67.181:443  | 64.252.103.227 | HK | 67ms | CloudFront | 2023-02-28 17:10:33
128.14.67.125:443  | 64.252.103.227 | HK | 56ms | CloudFront | 2023-02-28 17:10:34
128.14.67.148:443  | 64.252.77.156  | HK | 40ms | CloudFront | 2023-02-28 17:10:35
128.14.67.96:443   | 64.252.88.1    | HK | 39ms | CloudFront | 2023-02-28 17:10:35
128.14.111.121:443 | 64.252.103.227 | US | 324ms | CloudFront | 2023-02-28 17:10:43
128.14.199.51:443  | 64.252.103.227 | US | 345ms | CloudFront | 2023-02-28 17:10:49
129.227.153.189:443 | 64.252.103.227 | HK | 42ms | CloudFront | 2023-02-28 17:11:00
129.227.155.105:443 | 64.252.103.227 | HK | 42ms | CloudFront | 2023-02-28 17:11:00
129.227.155.113:443 | 64.252.103.227 | HK | 43ms | CloudFront | 2023-02-28 17:11:01
129.227.155.104:443 | 64.252.103.227 | HK | 40ms | CloudFront | 2023-02-28 17:11:01
129.227.153.174:443 | 64.252.69.180  | HK | 43ms | CloudFront | 2023-02-28 17:11:04
129.227.153.189:443 | 64.252.103.227 | HK | 45ms | CloudFront | 2023-02-28 17:11:09
129.227.155.105:443 | 64.252.103.227 | HK | 44ms | CloudFront | 2023-02-28 17:11:09
129.227.155.113:443 | 64.252.103.227 | HK | 60ms | CloudFront | 2023-02-28 17:11:09
129.227.155.104:443 | 64.252.103.227 | HK | 39ms | CloudFront | 2023-02-28 17:11:09
129.227.218.36:443 | 64.252.103.227 | IN | 369ms | CloudFront | 2023-02-28 17:11:10
129.227.153.174:443 | 64.252.69.180  | HK | 47ms | CloudFront | 2023-02-28 17:11:11
129.227.218.36:443 | 64.252.103.227 | IN | 370ms | CloudFront | 2023-02-28 17:11:17
156.59.91.173:443  | 64.252.103.227 | SG | 66ms | CloudFront | 2023-02-28 17:11:31
156.59.91.152:443  | 64.252.103.227 | SG | 44ms | CloudFront | 2023-02-28 17:11:31
156.59.91.215:443  | 64.252.103.227 | SG | 66ms | CloudFront | 2023-02-28 17:11:31
156.59.91.205:443  | 64.252.103.227 | SG | 50ms | CloudFront | 2023-02-28 17:11:31
156.59.91.195:443  | 64.252.103.227 | SG | 71ms | CloudFront | 2023-02-28 17:11:31
156.59.91.106:443  | 64.252.103.227 | SG | 54ms | CloudFront | 2023-02-28 17:11:31
156.59.91.80:443   | 64.252.103.227 | SG | 46ms | CloudFront | 2023-02-28 17:11:31
156.59.91.209:443  | 64.252.103.227 | SG | 45ms | CloudFront | 2023-02-28 17:11:31
156.59.91.200:443  | 64.252.103.227 | SG | 42ms | CloudFront | 2023-02-28 17:11:31
156.59.61.84:443   | 64.252.103.227 | CN | 320ms | CloudFront | 2023-02-28 17:11:33
156.59.125.4:443   | 64.252.103.227 | SG | 41ms | CloudFront | 2023-02-28 17:11:34
156.59.125.21:443  | 64.252.103.227 | SG | 40ms | CloudFront | 2023-02-28 17:11:34
156.59.125.108:443 | 64.252.103.227 | SG | 53ms | CloudFront | 2023-02-28 17:11:34
156.59.30.9:443    | 64.252.103.227 | JP | 0ms | CloudFront | 2023-02-28 17:11:34
156.59.125.95:443  | 64.252.121.226 | SG | 43ms | CloudFront | 2023-02-28 17:11:35
156.59.153.24:443  | 64.252.103.227 | HK | 42ms | CloudFront | 2023-02-28 17:11:37
156.59.153.55:443  | 64.252.69.180  | HK | 45ms | CloudFront | 2023-02-28 17:11:38
156.59.153.98:443  | 64.252.88.1    | HK | 41ms | CloudFront | 2023-02-28 17:11:39
156.59.208.135:443 | 64.252.103.227 | SG | 364ms | CloudFront | 2023-02-28 17:11:49
156.59.154.114:443 | 64.252.98.86   | SG | 439ms | CloudFront | 2023-02-28 17:11:50
162.221.5.178:443  | 64.252.103.227 | US | 340ms | CloudFront | 2023-02-28 17:11:54
162.221.5.178:443  | 64.252.103.227 | US | 339ms | CloudFront | 2023-02-28 17:11:55
169.197.110.235:443 | 64.252.103.227 | US | 166ms | CloudFront | 2023-02-28 17:11:56
169.197.104.158:443 | 64.252.103.227 | DE | 245ms | CloudFront | 2023-02-28 17:11:56
192.169.127.123:443 | 64.252.112.242 | JP | 57ms | CloudFront | 2023-02-28 17:12:03
192.169.127.190:443 | 64.252.112.242 | JP | 66ms | CloudFront | 2023-02-28 17:12:03
192.169.127.124:443 | 64.252.103.227 | JP | 63ms | CloudFront | 2023-02-28 17:12:04
192.169.127.112:443 | 64.252.103.227 | JP | 61ms | CloudFront | 2023-02-28 17:12:04
192.169.127.119:443 | 64.252.103.227 | JP | 58ms | CloudFront | 2023-02-28 17:12:04
192.169.127.99:443 | 64.252.103.227 | JP | 57ms | CloudFront | 2023-02-28 17:12:04
192.169.127.169:443 | 64.252.103.227 | JP | 69ms | CloudFront | 2023-02-28 17:12:04
192.169.127.122:443 | 64.252.103.227 | JP | 71ms | CloudFront | 2023-02-28 17:12:04
192.169.127.89:443 | 64.252.103.227 | JP | 64ms | CloudFront | 2023-02-28 17:12:04
192.169.127.120:443 | 64.252.103.227 | JP | 57ms | CloudFront | 2023-02-28 17:12:05
193.118.32.249:443 | 64.252.103.227 | GB | 257ms | CloudFront | 2023-02-28 17:12:10
193.118.32.249:443 | 64.252.103.227 | GB | 261ms | CloudFront | 2023-02-28 17:12:10
